AppID,Game Name,Copies,Owners
1349230,5D Chess With Multiverse Time Travel,1,SkalinARG
1361320,The Room 4: Old Sins,1,SkalinARG
1454400,Cookie Clicker,1,SkalinARG
1454970,New Tales from the Borderlands,1,SkalinARG
1472560,I Am Fish,1,SkalinARG
1486630,Intravenous,2,"SkalinARG, Skalin"
1509960,PICO PARK,1,SkalinARG
1557740,ROUNDS,1,SkalinARG
1629520,A Little to the Left,1,SkalinARG
1703340,The Stanley Parable: Ultra Deluxe,1,SkalinARG
1712840,Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,2,"SkalinARG, P3ngu0"
1793350,Blue Fire: Void Maker,1,SkalinARG
1794680,Vampire Survivors,1,SkalinARG
1797610,Barro 22,1,SkalinARG
1927720,Monument Valley,1,SkalinARG
1927740,Monument Valley 2,1,SkalinARG
1942280,Brotato,1,SkalinARG
1943950,Escape the Backrooms,1,SkalinARG
1958600,Barro F22,1,SkalinARG
1980530,Kiwi Clicker,1,SkalinARG
1990740,Barro GT,3,"SkalinARG, Skalin, P3ngu0"
2181930,DR LIVESEY ROM AND DEATH EDITION,1,SkalinARG
2379030,Barro T23,1,SkalinARG
2943730,FragPunk Playtest,2,"SkalinARG, Skalin"
4000,Garry's Mod,3,"Skalin, P3ngu0, V2B"
15700,Oddworld: Abe's Oddysee,1,Skalin
24010,Train Simulator Classic 2024,1,Skalin
26000,The Maw,1,Skalin
29900,Dark Sector,1,Skalin
32510,LEGO® Star Wars™ III: The Clone Wars™,1,Skalin
33130,Zombie Shooter,1,Skalin
34270,SEGA Mega Drive & Genesis Classics,1,Skalin
34900,Bad Rats,1,Skalin
39550,SpellForce 2 - Anniversary Edition,1,Skalin
39640,AquaNox 2: Revelation,1,Skalin
40500,Sacraboar,1,Skalin
40800,Super Meat Boy,1,Skalin
43160,Metro: Last Light Complete Edition,1,Skalin
46380,Reign: Conflict of Nations,1,Skalin
46450,Grotesque Tactics: Evil Heroes,1,Skalin
46500,Syberia,1,Skalin
46510,Syberia 2,1,Skalin
48000,LIMBO,1,Skalin
49600,Beat Hazard,1,Skalin
65500,Aura: Fate of the Ages,1,Skalin
80310,Gemini Rue,1,Skalin
80330,The Blackwell Legacy,1,Skalin
80340,Blackwell Unbound,1,Skalin
80350,Blackwell Convergence,1,Skalin
80360,Blackwell Deception,1,Skalin
95900,Air Conflicts - Secret Wars,1,Skalin
102840,Shank 2,1,Skalin
105600,Terraria,3,"Skalin, P3ngu0, Ogidor"
200010,Quantum Conundrum,1,Skalin
200370,A Game of Dwarves,1,Skalin
202270,Leviathan: Warships,1,Skalin
204360,Castle Crashers,1,Skalin
205730,Insanely Twisted Shadow Planet,1,Skalin
207000,Alien Spidy,1,Skalin
207140,SpeedRunners,1,Skalin
208610,Skullgirls ∞Endless Beta∞,1,Skalin
209190,Stealth Bastard Deluxe,1,Skalin
212050,Resonance,1,Skalin
214340,Deponia,1,Skalin
218090,Unity of Command,1,Skalin
218620,PAYDAY 2,3,"Skalin, P3ngu0, Ogidor"
220440,DmC Devil May Cry,1,Skalin
220700,RPG Maker VX Ace,1,Skalin
226620,Desktop Dungeons,1,Skalin
227000,Primordia,1,Skalin
232770,POSTAL,1,Skalin
236930,Blackwell Epiphany,1,Skalin
238460,BattleBlock Theater,1,Skalin
242700,Injustice: Gods Among Us Ultimate Edition,1,Skalin
245170,Skullgirls 2nd Encore,1,Skalin
249650,Blackguards,1,Skalin
252110,Lovers in a Dangerous Spacetime,1,Skalin
252370,The Shivah,1,Skalin
252410,SteamWorld Dig,1,Skalin
252670,Nihilumbra,1,Skalin
252950,Rocket League,1,Skalin
253900,Knights and Merchants,1,Skalin
254040,Pirates of Black Cove Gold,1,Skalin
259550,Hero of the Kingdom,1,Skalin
259600,Finding Teddy,1,Skalin
261570,Ori and the Blind Forest,1,Skalin
263380,Driftmoon,1,Skalin
265330,Gomo,1,Skalin
265930,Goat Simulator,1,Skalin
268910,Cuphead,1,Skalin
